,date,county,state,cases,deaths
0,2023-01-01,Autauga,Alabama,18961,230.0
1,2023-01-01,Baldwin,Alabama,67496,719.0
2,2023-01-01,Barbour,Alabama,7027,111.0
3,2023-01-01,Bibb,Alabama,7692,108.0
4,2023-01-01,Blount,Alabama,17731,260.0
5,2023-01-01,Bullock,Alabama,2886,54.0
6,2023-01-01,Butler,Alabama,6185,130.0
7,2023-01-01,Calhoun,Alabama,39458,665.0
8,2023-01-01,Chambers,Alabama,10311,174.0
9,2023-01-01,Cherokee,Alabama,6456,133.0
10,2023-01-01,Chilton,Alabama,12596,223.0
11,2023-01-01,Choctaw,Alabama,2204,63.0
12,2023-01-01,Clarke,Alabama,8184,113.0
13,2023-01-01,Clay,Alabama,4941,90.0
14,2023-01-01,Cleburne,Alabama,4222,74.0
15,2023-01-01,Coffee,Alabama,16328,243.0
16,2023-01-01,Colbert,Alabama,20165,275.0
17,2023-01-01,Conecuh,Alabama,3410,75.0
18,2023-01-01,Coosa,Alabama,3643,62.0
19,2023-01-01,Covington,Alabama,11250,266.0
20,2023-01-01,Crenshaw,Alabama,4516,108.0
21,2023-01-01,Cullman,Alabama,30119,391.0
22,2023-01-01,Dale,Alabama,15789,245.0
23,2023-01-01,Dallas,Alabama,10357,256.0
24,2023-01-01,DeKalb,Alabama,21738,350.0
25,2023-01-01,Elmore,Alabama,28545,360.0
26,2023-01-01,Escambia,Alabama,11863,191.0
27,2023-01-01,Etowah,Alabama,33129,686.0
28,2023-01-01,Fayette,Alabama,5694,99.0
29,2023-01-01,Franklin,Alabama,11566,149.0
30,2023-01-01,Geneva,Alabama,7591,171.0
31,2023-01-01,Greene,Alabama,2194,53.0
32,2023-01-01,Hale,Alabama,5523,110.0
33,2023-01-01,Henry,Alabama,5574,79.0
34,2023-01-01,Houston,Alabama,31004,526.0
35,2023-01-01,Jackson,Alabama,17525,276.0
36,2023-01-01,Jefferson,Alabama,225876,2485.0
37,2023-01-01,Lamar,Alabama,4572,94.0
38,2023-01-01,Lauderdale,Alabama,29121,414.0
39,2023-01-01,Lawrence,Alabama,9102,185.0
40,2023-01-01,Lee,Alabama,45351,397.0
41,2023-01-01,Limestone,Alabama,30685,311.0
42,2023-01-01,Lowndes,Alabama,3148,82.0
43,2023-01-01,Macon,Alabama,4941,90.0
44,2023-01-01,Madison,Alabama,111206,1046.0
45,2023-01-01,Marengo,Alabama,5895,115.0
46,2023-01-01,Marion,Alabama,9689,156.0
47,2023-01-01,Marshall,Alabama,31626,406.0
48,2023-01-01,Mobile,Alabama,130646,1762.0
49,2023-01-01,Monroe,Alabama,6355,104.0
50,2023-01-01,Montgomery,Alabama,69442,1001.0
51,2023-01-01,Morgan,Alabama,44434,544.0
52,2023-01-01,Perry,Alabama,2563,50.0
53,2023-01-01,Pickens,Alabama,6122,118.0
54,2023-01-01,Pike,Alabama,8902,141.0
55,2023-01-01,Randolph,Alabama,6161,133.0
